,max_price,min_price,daily_price_spread,simple_daily_profit,optimised_daily_profit
2018-04-17,54.655,23.064999999999998,31.590000000000003,2685.15,868.3520954446849
2018-04-18,0.0,0.0,0.0,0.0,2052.4430195227774
2018-04-19,67.765,43.99,23.775,2020.875,7300.346963123642
2018-04-20,60.3,35.875,24.424999999999997,2076.1249999999995,2530.936546618922
2018-04-21,64.09,34.129999999999995,29.960000000000008,2546.600000000001,359.9920477223436
2018-04-22,0.0,0.0,0.0,0.0,3503.313496746203
2018-04-23,56.79,18.08,38.71,3290.35,3072.2304121475054
2018-04-24,73.88,22.57,51.309999999999995,4361.349999999999,341.08367462039087
2018-04-25,55.86,39.3,16.560000000000002,1407.6000000000001,2812.0
2018-04-26,0.0,0.0,0.0,0.0,-1186.7995852456938
2018-04-27,65.465,40.105000000000004,25.36,2155.6,6146.219999999999
2018-04-28,70.375,44.84,25.534999999999997,2170.4749999999995,1725.6048763557487
2018-04-29,0.0,0.0,0.0,0.0,1696.729813449023
2018-04-30,68.925,39.34,29.584999999999994,2514.7249999999995,-1532.6654360086764
2018-05-01,0.0,0.0,0.0,0.0,4767.046394793926
2018-05-02,64.83500000000001,36.295,28.540000000000006,2425.9000000000005,1900.219219954734
2018-05-03,0.0,0.0,0.0,0.0,9574.241778741865
2018-05-04,53.985,43.99,9.994999999999997,849.5749999999998,0.0
2018-05-05,57.25,30.369999999999997,26.880000000000003,2284.8,2017.630581344902
2018-05-06,67.06,32.644999999999996,34.415000000000006,2925.275,2648.5047939262467
2018-05-07,71.06,40.205,30.855000000000004,2622.675,1998.8886377440344
2018-05-08,66.375,40.769999999999996,25.605000000000004,2176.425,2173.998
2018-05-09,0.0,0.0,0.0,0.0,-4330.394793926247
2018-05-10,79.42,41.935,37.485,3186.225,7328.998
2018-05-11,61.315,31.580000000000002,29.734999999999996,2527.4749999999995,-306.96095444685443
2018-05-12,76.335,44.355000000000004,31.97999999999999,2718.2999999999993,5597.387687296784
2018-05-13,67.795,40.235,27.560000000000002,2342.6,1895.8086507592188
2018-05-14,55.989999999999995,40.99,14.999999999999993,1274.9999999999993,-4417.677874186551
2018-05-15,0.0,0.0,0.0,0.0,10924.156763557483
2018-05-16,64.09,42.980000000000004,21.11,1794.35,-811.9906334056404
2018-05-17,60.09,44.17,15.920000000000002,1353.2,-368.76572668112766
2018-05-18,62.78,42.75,20.03,1702.55,1175.0000000000005
2018-05-19,0.0,0.0,0.0,0.0,5565.067785178877
2018-05-20,65.565,38.535,27.03,2297.5499999999997,1946.2684511930584
2018-05-21,0.0,0.0,0.0,0.0,3471.645639913231
2018-05-22,58.575,33.545,25.03,2127.5499999999997,-3028.4670244352324
2018-05-23,84.99000000000001,45.345,39.64500000000001,3369.8250000000007,8420.710963503203
2018-05-24,88.57499999999999,45.735,42.83999999999999,3641.399999999999,4214.198357917569
2018-05-25,86.69999999999999,45.629999999999995,41.06999999999999,3490.949999999999,3096.204334056398
2018-05-26,0.0,0.0,0.0,0.0,414.17536199999995
2018-05-27,69.145,18.11,51.035,4337.974999999999,2035.7752104121473
2018-05-28,0.0,0.0,0.0,0.0,5243.418342733188
2018-05-29,67.85499999999999,41.849999999999994,26.004999999999995,2210.4249999999997,-654.1571323210419
2018-05-30,95.56,50.455,45.105000000000004,3833.9249999999997,6505.109912469826
2018-05-31,87.255,50.47,36.785,3126.7249999999995,2836.5642081770743
2018-06-01,70.53,49.205,21.325000000000003,1812.6250000000002,1616.1139999999996
2018-06-02,70.655,46.475,24.18,2055.2999999999997,1522.439097613882
2018-06-03,75.37,45.364999999999995,30.00500000000001,2550.4250000000006,2026.2505596529272
2018-06-04,84.41999999999999,44.705,39.71499999999999,3375.774999999999,3094.8109154013014
2018-06-05,65.83,42.68,23.15,1967.75,1827.301088937093
2018-06-06,64.165,43.754999999999995,20.41000000000001,1734.8500000000008,-1423.5032537960947
2018-06-07,78.745,46.84,31.905,2711.9249999999997,4157.122208497043
2018-06-08,0.0,0.0,0.0,0.0,3073.2779999999993
2018-06-09,62.230000000000004,41.315,20.915000000000006,1777.7750000000003,1312.4379869848153
2018-06-10,66.535,45.05,21.485,1826.225,1817.0284586420817
2018-06-11,61.21,44.364999999999995,16.845000000000006,1431.8250000000005,585.4372226744649
2018-06-12,65.98,43.59,22.39,1903.1499999999999,1356.6787201735356
2018-06-13,0.0,0.0,0.0,0.0,549.6027074971416
2018-06-14,63.64,6.455,57.185,4860.724999999999,6117.540306238611
2018-06-15,69.07499999999999,46.065,23.00999999999999,1955.8499999999992,1815.2439999999992
2018-06-16,0.0,0.0,0.0,0.0,508.68914800000016
2018-06-17,60.35,31.72,28.630000000000003,2433.55,2162.269973969631
2018-06-18,63.245000000000005,21.835,41.410000000000004,3519.85,-249.2210412147498
2018-06-19,88.95,42.55,46.400000000000006,3944.0000000000005,8207.8
2018-06-20,0.0,0.0,0.0,0.0,488.4712263729234
2018-06-21,59.08,25.45,33.629999999999995,2858.5499999999997,512.0859869848159
2018-06-22,64.14,42.22,21.92,1863.2,3845.0799999999995
2018-06-23,68.6,40.43,28.169999999999995,2394.4499999999994,2077.759744034707
2018-06-24,71.05,39.974999999999994,31.075000000000003,2641.3750000000005,-170.50174403470737
2018-06-25,77.645,42.1,35.544999999999995,3021.3249999999994,4637.578164859001
2018-06-26,0.0,0.0,0.0,0.0,3399.355637720506
2018-06-27,68.375,45.61,22.765,1935.0249999999999,1426.4983297180033
2018-06-28,65.16,42.455,22.705,1929.925,1433.0578568329715
